,Test,Mean,Std,All,Units
0,"table/[100,4]/render",28.9433,4.067424,"37.01,27.64,27.03,26.03,27.01",ms
1,"table/[50,4]/render",16.43672,2.041841,"15.15,18.01,13.00,18.01,18.02",ms
2,"table/[100,2]/render",26.209927,16.48731,"18.00,59.01,21.02,16.00,17.01",ms
3,"table/[50,2]/render",10.619593,1.363286,"9.00,12.00,9.00,12.01,11.08",ms
4,"table/[100,4]/removeAll",8.206558,0.403207,"9.01,8.01,8.00,8.00,8.00",ms
5,"table/[50,4]/removeAll",4.248953,0.378426,"4.03,4.09,5.00,4.11,4.01",ms
6,"table/[100,2]/removeAll",5.012703,0.010719,"5.01,5.00,5.00,5.01,5.03",ms
7,"table/[50,2]/removeAll",3.757095,1.634298,"3.10,3.01,3.00,7.01,2.66",ms
8,"table/[100,4]/sort/0",24.225664,0.420833,"25.07,24.01,24.02,24.02,24.01",ms
9,"table/[100,2]/sort/0",18.011856,7.512485,"14.01,14.01,14.00,15.01,33.02",ms
10,"table/[50,4]/sort/0",15.809679,0.403615,"16.02,16.00,16.01,15.00,16.01",ms
11,"table/[50,2]/sort/0",9.39064,0.468742,"9.92,9.01,10.01,9.00,9.01",ms
12,"table/[100,4]/sort/1",29.014874,5.515902,"40.02,27.02,26.02,26.02,26.01",ms
13,"table/[100,2]/sort/1",14.133549,0.24004,"14.01,14.01,14.61,14.01,14.01",ms
14,"table/[50,4]/sort/1",15.79113,0.39083,"16.01,16.01,15.91,16.01,15.01",ms
15,"table/[50,2]/sort/1",9.182453,0.210425,"9.01,9.01,9.01,9.49,9.39",ms
16,"table/[100,4]/filter/32",23.2234,0.402726,"23.03,24.03,23.02,23.03,23.02",ms
17,"table/[50,4]/filter/32",14.411688,0.487653,"15.01,14.01,14.01,14.01,15.00",ms
18,"table/[100,2]/filter/32",12.804937,0.396041,"12.01,13.01,12.99,13.00,13.00",ms
19,"table/[50,2]/filter/32",8.008575,0.004017,"8.01,8.01,8.00,8.01,8.00",ms
20,"table/[100,4]/filter/16",22.807693,0.396463,"23.01,23.02,22.01,23.00,23.01",ms
21,"table/[50,4]/filter/16",13.827944,0.408781,"14.00,14.10,14.01,14.01,13.01",ms
22,"table/[100,2]/filter/16",12.80756,0.402374,"13.01,13.01,12.99,12.00,13.01",ms
23,"table/[50,2]/filter/16",7.642031,0.52296,"7.01,7.00,8.18,8.01,8.00",ms
24,"table/[100,4]/filter/8",22.209263,0.744677,"23.00,23.01,22.02,21.01,22.01",ms
