Test,Mean,Std,All,Units
"table/[100,4]/render",8.951855,4.694466,"15.31,11.37,11.04,3.00,4.04",ms
"table/[50,4]/render",6.329489,2.624256,"3.00,9.35,3.38,7.60,8.31",ms
"table/[100,2]/render",6.273413,2.675345,"8.31,3.03,3.01,9.00,8.01",ms
"table/[50,2]/render",6.569958,3.317777,"10.79,6.00,10.01,3.03,3.03",ms
"table/[100,4]/removeAll",7.208872,2.137151,"3.00,8.00,9.00,8.03,8.00",ms
"table/[50,4]/removeAll",4.156542,1.679937,"6.35,3.03,3.01,6.03,2.37",ms
"table/[100,2]/removeAll",5.366611,2.073075,"8.40,6.36,6.00,3.04,3.03",ms
"table/[50,2]/removeAll",9.466028,5.535146,"19.01,9.01,10.61,2.34,6.36",ms
"table/[100,4]/sort/0",15.21368,5.153779,"22.01,11.02,11.02,21.02,11.01",ms
"table/[100,2]/sort/0",11.744452,2.399308,"13.02,13.37,13.00,12.34,6.99",ms
"table/[50,4]/sort/0",10.756874,2.911592,"7.37,13.01,13.01,7.03,13.38",ms
"table/[50,2]/sort/0",9.379721,3.462389,"5.38,12.00,5.00,13.09,11.42",ms
"table/[100,4]/sort/1",18.725824,4.403863,"22.01,21.03,20.01,20.57,10.02",ms
"table/[100,2]/sort/1",11.857605,2.427678,"13.20,7.00,13.03,13.00,13.04",ms
"table/[50,4]/sort/1",12.152481,2.419136,"13.38,13.01,7.37,14.01,13.00",ms
"table/[50,2]/sort/1",7.169628,1.961529,"8.34,5.02,10.43,6.02,6.03",ms
"table/[100,4]/filter/32",8.383369,5.406856,"3.90,4.00,15.01,15.01,4.00",ms
"table/[50,4]/filter/32",8.765841,2.391042,"10.02,9.38,4.03,10.02,10.38",ms
"table/[100,2]/filter/32",7.214832,3.133527,"4.00,8.66,11.02,3.02,9.37",ms
"table/[50,2]/filter/32",3.72653,1.159529,"3.00,3.58,6.00,3.00,3.04",ms
"table/[100,4]/filter/16",12.152433,4.417877,"15.02,14.01,3.35,14.00,14.38",ms
"table/[50,4]/filter/16",7.634783,3.3228,"10.42,4.00,11.38,3.35,9.02",ms
"table/[100,2]/filter/16",5.591726,3.176608,"3.01,9.92,9.02,3.00,3.01",ms
"table/[50,2]/filter/16",6.5938,1.94832,"7.00,7.00,3.00,8.96,7.00",ms
"table/[100,4]/filter/8",11.880112,3.946086,"14.00,14.01,4.00,14.01,13.39",ms
"table/[50,4]/filter/8",4.478979,2.461987,"3.01,4.03,9.34,3.01,3.00",ms
"table/[100,2]/filter/8",7.794046,2.223612,"3.37,9.23,8.62,9.02,8.73",ms
"table/[50,2]/filter/8",5.380106,2.110431,"6.03,3.34,2.62,8.31,6.60",ms
"table/[100,4]/filter/4",7.681227,4.493583,"13.36,4.00,13.01,4.01,4.03",ms
"table/[50,4]/filter/4",8.775711,2.579979,"4.01,9.01,11.13,8.72,11.01",ms
"table/[100,2]/filter/4",6.478405,2.724231,"9.02,3.35,3.00,9.02,8.00",ms
"table/[50,2]/filter/4",3.31378,0.197481,"3.37,3.01,3.37,3.61,3.21",ms
"table/[100,4]/activate/32",12.550116,4.295664,"4.01,15.01,14.37,15.36,14.01",ms
"table/[50,4]/activate/32",10.535574,0.773538,"12.02,10.03,10.02,10.02,10.60",ms
"table/[100,2]/activate/32",6.320477,2.970941,"9.00,3.03,10.21,3.01,6.36",ms
"table/[50,2]/activate/32",6.48222,1.848651,"3.03,8.33,6.36,7.00,7.69",ms
"table/[100,4]/activate/16",14.615583,0.621036,"15.35,14.35,14.01,15.37,14.01",ms
"table/[50,4]/activate/16",4.687929,2.695352,"10.03,3.36,4.03,3.01,3.01",ms
"table/[100,2]/activate/16",6.760406,2.914669,"3.01,3.38,9.02,9.37,9.02",ms
"table/[50,2]/activate/16",6.608295,1.920072,"3.00,7.00,8.43,6.60,8.01",ms
"table/[100,4]/activate/8",6.214523,4.395303,"15.01,4.00,4.01,4.03,4.03",ms
"table/[50,4]/activate/8",8.926105,2.452292,"10.00,4.03,10.12,10.36,10.12",ms
"table/[100,2]/activate/8",8.601379,2.650514,"3.62,11.57,9.40,9.38,9.04",ms
"table/[50,2]/activate/8",3.785849,1.650946,"2.36,7.00,3.53,3.00,3.03",ms
"table/[100,4]/activate/4",12.601471,4.301619,"15.01,4.01,14.38,15.01,14.60",ms
"table/[50,4]/activate/4",7.695341,3.004397,"10.35,4.01,10.08,10.00,4.03",ms
"table/[100,2]/activate/4",4.417419,2.804292,"3.01,10.03,3.00,3.02,3.03",ms
"table/[50,2]/activate/4",5.944252,2.748152,"7.01,6.37,10.32,3.00,3.01",ms
tree/[500]/render,8.608341,3.7872,"11.04,4.00,4.01,12.51,11.48",ms
"tree/[50,10]/render",10.069609,4.775121,"4.54,15.03,4.00,13.39,13.38",ms
"tree/[10,50]/render",7.154369,3.709531,"12.02,4.36,11.36,4.00,4.03",ms
"tree/[5,100]/render",10.287237,3.152468,"12.02,4.00,12.02,12.02,11.38",ms
"tree/[2,2,2,2,2,2,2,2,2,2]/render",34.513235,17.991907,"12.03,50.01,13.03,50.47,47.02",ms
tree/[500]/removeAll,8.594227,0.393072,"9.01,9.02,8.02,8.60,8.31",ms
"tree/[50,10]/removeAll",9.209347,0.397426,"9.02,9.00,9.01,10.00,9.00",ms
"tree/[10,50]/removeAll",4.587507,2.234815,"3.41,9.01,4.00,3.52,3.00",ms
"tree/[5,100]/removeAll",7.803726,1.939669,"9.00,4.00,9.00,8.00,9.00",ms
"tree/[2,2,2,2,2,2,2,2,2,2]/removeAll",30.607414,0.389771,"31.02,30.61,30.37,31.02,30.01",ms
tree/[500]/reverse,15.806627,0.400894,"15.00,16.01,16.01,16.00,16.00",ms
"tree/[50,10]/reverse",15.88459,4.946722,"18.01,6.02,18.38,19.01,18.00",ms
"tree/[10,50]/reverse",7.329988,4.367719,"5.38,16.04,4.61,5.62,5.00",ms
"tree/[5,100]/reverse",16.678858,0.562198,"17.00,17.01,16.01,17.36,16.00",ms
tree/[500]/[insertFirst(1)],11.731672,5.521761,"5.00,5.00,17.01,16.35,15.28",ms
"tree/[50,10]/[insertFirst(1)]",10.923004,6.436385,"6.00,18.39,6.03,19.19,5.01",ms
"tree/[10,50]/[insertFirst(1)]",18.023157,1.074683,"17.36,17.00,20.01,18.27,17.47",ms
"tree/[5,100]/[insertFirst(1)]",12.32357,5.824734,"18.03,5.83,18.39,4.99,14.39",ms
tree/[500]/[insertLast(1)],9.544802,5.27631,"5.37,16.01,5.01,16.00,5.34",ms
"tree/[50,10]/[insertLast(1)]",18.211174,0.403769,"19.02,18.02,18.01,18.00,18.01",ms
"tree/[10,50]/[insertLast(1)]",12.412977,6.051733,"17.01,5.00,18.00,5.03,17.02",ms
"tree/[5,100]/[insertLast(1)]",10.28161,6.31315,"5.01,18.02,5.00,18.01,5.37",ms
tree/[500]/[removeFirst(1)],15.954971,0.317238,"15.38,16.01,16.37,16.01,16.01",ms
"tree/[50,10]/[removeFirst(1)]",13.157463,5.938211,"18.01,6.00,18.01,5.77,18.00",ms
"tree/[10,50]/[removeFirst(1)]",9.50532,5.501935,"5.03,16.01,5.01,16.48,5.00",ms
"tree/[5,100]/[removeFirst(1)]",14.684439,0.567479,"15.02,15.38,15.01,14.01,14.01",ms
tree/[500]/[removeLast(1)],11.611414,5.385165,"16.01,5.00,16.01,5.03,16.01",ms
"tree/[50,10]/[removeLast(1)]",10.355663,6.394809,"5.01,18.01,5.03,18.36,5.37",ms
"tree/[10,50]/[removeLast(1)]",16.200018,0.229813,"16.01,16.03,16.00,16.48,16.48",ms
"tree/[5,100]/[removeLast(1)]",10.884333,4.81959,"15.02,5.01,14.01,5.00,15.38",ms
tree/[500]/[moveFromEndToStart(1)],9.477139,5.332371,"5.36,16.01,5.00,16.01,5.01",ms
"tree/[50,10]/[moveFromEndToStart(1)]",18.078566,0.134203,"18.01,18.35,18.02,18.01,18.01",ms
"tree/[10,50]/[moveFromEndToStart(1)]",12.014341,5.275619,"16.01,5.69,16.48,5.43,16.48",ms
"tree/[5,100]/[moveFromEndToStart(1)]",7.483387,4.763215,"5.00,5.38,5.00,17.01,5.02",ms
tree/[500]/[moveFromStartToEnd(1)],16.086006,0.149316,"16.01,16.01,16.38,16.01,16.03",ms
"tree/[50,10]/[moveFromStartToEnd(1)]",15.676832,5.340137,"18.39,18.36,18.01,5.00,18.63",ms
"tree/[10,50]/[moveFromStartToEnd(1)]",9.777451,5.707058,"5.37,5.03,5.00,17.47,16.01",ms
"tree/[5,100]/[moveFromStartToEnd(1)]",16.279793,0.390597,"17.01,16.01,16.01,16.38,16.00",ms
"tree/[10,10,10,10]/no_change/prerun",8.510542,1.479409,"10.03,8.01,10.48,7.02,7.00",ms
"tree/[10,10,10,10]/no_change",8.48937,2.76534,"7.00,14.01,7.08,7.00,7.35",ms
"tree/[2,2,2,2,2,2,2,2,2,2]/no_change/prerun",3.804111,1.599601,"7.00,3.00,3.01,3.00,3.00",ms
